OBJECTID,COUNTRY,year,literacy,,,,,,,
12616,Georgia,2010,99.7,,,,,,,
8589,West Germany,1950,98.5,,,,,,,
4293,West Germany,1960,98.7,,,,,,,
41,West Germany,1970,98.7,,,,,,,
1428,West Germany,1980,98.7999999999999,,,,,,,
2875,West Germany,1990,99,,,,,,,
10977,Germany,2000,99,,,,,,,
11797,Germany,2005,99,,,,,,,
12617,Germany,2010,99,,,,,,,
18007,Ghana,1950,22.5,,,,,,,
4294,Ghana,1960,27,,,,,,,
42,Ghana,1970,30.1999999999999,,,,,,,
1429,Ghana,1980,44.5,,,,,,,
2876,Ghana,1990,58.2,,,,,,,
3658,Ghana,1995,64.5,,,,,,,
10978,Ghana,2000,70.7,,,,,,,
12618,Ghana,2010,80.9,,,,,,,
5782,Greece,1905,39.5,,,,,,,
6616,Greece,1920,53.8999999999999,,,,,,,
7244,Greece,1930,58.1,,,,,,,
8590,Greece,1950,74.0999999999999,,,,,,,
4295,Greece,1960,80.4,,,,,,,
43,Greece,1970,84.4,,,,,,,
1430,Greece,1980,90.5,,,,,,,
2877,Greece,1990,92.5999999999999,,,,,,,
10979,Greece,2000,96,,,,,,,
12619,Greece,2010,97.2,,,,,,,
6617,Guatemala,1920,13.1999999999999,,,,,,,
7897,Guatemala,1940,32.6,,,,,,,
8591,Guatemala,1950,29.3999999999999,,,,,,,
4296,Guatemala,1960,31.5,,,,,,,
4891,Guatemala,1965,37.8999999999999,,,,,,,
720,Guatemala,1975,46,,,,,,,
1431,Guatemala,1980,48.7,,,,,,,
2878,Guatemala,1990,53.2999999999999,,,,,,,
3660,Guatemala,1995,64.2,,,,,,,
10980,Guatemala,2000,69.0999999999999,,,,,,,
12620,Guatemala,2010,75.2,,,,,,,
18026,Guinea,1950,3,,,,,,,
4892,Guinea,1965,8.6,,,,,,,
1432,Guinea,1980,22.3999999999999,,,,,,,
2879,Guinea,1990,31,,,,,,,
3661,Guinea,1995,35.8999999999999,,,,,,,
10981,Guinea,2000,41,,,,,,,
11801,Guinea,2005,29.6999999999999,,,,,,,
12621,Guinea,2010,51.6,,,,,,,
18034,Guinea-Bissau,1960,4.9,,,,,,,
1433,Guinea-Bissau,1980,39.1,,,,,,,
